,alcohol,volatile acidity,total sulfur dioxide,citric acid,quality
97,9.2,0.5,22.0,0.25,5
98,9.8,0.9,10.0,0.06,5
99,9.0,0.545,35.0,0.18,6
100,10.2,0.61,50.0,0.3,6
101,10.4,0.5,22.0,0.3,6
102,9.0,0.545,35.0,0.18,6
103,9.2,0.575,65.0,0.22,5
104,9.4,0.49,36.0,0.24,5
105,9.2,0.575,65.0,0.22,5
106,9.3,0.41,69.0,0.68,5
107,9.3,0.63,64.0,0.31,5
108,9.6,0.33,80.0,0.53,6
109,9.3,0.785,153.0,0.52,5
110,9.5,0.56,47.0,0.19,5
111,9.8,0.62,108.0,0.09,5
112,9.8,0.6,111.0,0.1,5
113,9.7,0.31,46.0,0.44,6
114,9.5,0.56,47.0,0.19,5
115,10.5,0.4,62.0,0.31,6
116,10.0,0.54,40.0,0.28,6
117,9.4,0.56,28.0,0.12,6
118,10.9,0.55,56.0,0.04,6
119,9.2,0.69,89.0,0.08,6
120,9.0,1.07,89.0,0.09,5
121,10.9,0.55,56.0,0.04,6
122,9.2,0.695,13.0,0.0,5
123,9.5,0.71,34.0,0.0,5
124,9.5,0.5,102.0,0.17,5
125,9.4,0.62,90.0,0.04,5
126,10.9,1.33,12.0,0.0,5
127,10.9,1.33,12.0,0.0,5
128,10.5,0.59,16.0,0.16,7
129,9.4,0.38,19.0,0.15,5
130,9.4,0.745,134.0,0.56,5
131,13.0,0.5,99.0,0.09,5
132,13.0,0.5,99.0,0.09,5
133,9.8,0.5,26.0,0.01,6
134,9.9,1.04,29.0,0.05,6
135,9.6,0.745,63.0,0.11,5
136,9.5,0.715,52.0,0.15,5
137,9.2,0.415,45.0,0.36,5
138,9.5,0.56,105.0,0.19,5
139,9.5,0.56,108.0,0.19,5
140,9.6,0.745,63.0,0.11,5
141,9.5,0.715,52.0,0.15,5
142,14.0,0.34,63.0,0.0,6
143,9.4,0.39,20.0,0.08,5
144,14.0,0.34,63.0,0.0,6
145,9.4,0.67,141.0,0.55,5
146,10.0,0.68,94.0,0.02,5
147,9.3,0.49,88.0,0.26,5
148,10.2,0.49,30.0,0.1,6
149,10.5,0.4,43.0,0.44,6
150,10.3,0.33,11.0,0.47,6
151,9.4,0.52,69.0,1.0,4
152,10.1,0.6,99.0,0.03,5
153,10.1,0.6,99.0,0.03,5
154,10.5,0.43,129.0,0.42,5
155,10.5,0.43,128.0,0.42,5
156,10.5,0.43,129.0,0.42,5
157,10.5,0.43,128.0,0.42,5
158,9.3,0.68,22.0,0.0,5
159,9.3,0.6,86.0,0.18,6
160,9.6,0.95,20.0,0.03,5
161,9.2,0.68,20.0,0.02,4
162,10.0,0.53,31.0,0.04,6
163,9.4,0.6,121.0,0.26,5
164,9.4,0.59,121.0,0.26,5
165,9.5,0.63,96.0,0.48,5
166,10.2,0.64,101.0,0.1,5
167,9.0,0.55,42.0,0.03,4
168,10.4,0.63,44.0,0.07,6
169,9.5,0.705,63.0,0.24,5
170,9.1,0.885,8.0,0.03,4
171,9.2,0.42,18.0,0.17,6
172,9.2,0.42,18.0,0.17,6
173,11.5,0.62,42.0,0.05,6
174,9.5,0.38,35.0,0.21,5
175,9.5,0.5,49.0,0.04,5
176,9.5,0.38,35.0,0.21,5
177,10.5,0.52,38.0,0.42,6
178,9.6,0.805,20.0,0.0,5
179,9.5,0.61,42.0,0.14,5
180,9.5,0.61,42.0,0.14,5
181,9.3,0.61,110.0,0.49,5
182,9.3,0.73,42.0,0.02,5
183,9.3,0.61,65.0,0.2,5
184,9.3,0.62,62.0,0.21,6
185,9.7,0.31,85.0,0.57,5
186,9.2,0.39,67.0,0.48,5
187,9.7,0.705,26.0,0.1,5
188,9.5,0.5,143.0,0.33,5
189,9.5,0.49,144.0,0.32,5
190,9.4,0.5,127.0,0.35,5
191,9.8,0.37,49.0,0.25,6
192,9.5,0.63,126.0,0.12,5
193,9.7,0.55,28.0,0.21,5
194,9.7,0.55,28.0,0.21,5
195,9.4,0.59,120.0,0.33,5
196,10.2,0.58,55.0,0.3,5
197,10.1,0.3,27.0,0.6,6
198,13.0,0.835,93.0,0.08,7
199,11.4,1.09,31.0,0.06,4
200,10.3,0.32,24.0,0.47,7
201,9.3,0.37,145.0,0.48,5
202,9.5,0.5,49.0,0.11,5
203,9.2,0.42,39.0,0.35,5
204,9.2,0.43,37.0,0.36,6
205,10.8,0.3,28.0,0.74,7
206,10.8,0.3,28.0,0.74,7
207,9.3,0.57,120.0,0.31,5
208,9.4,0.44,95.0,0.28,5
209,10.5,0.3,19.0,0.58,7
210,12.4,0.53,19.0,0.6,6
211,10.0,0.725,62.0,0.24,6
212,10.2,0.44,15.0,0.64,6
213,10.1,0.57,65.0,0.26,5
214,9.8,0.735,41.0,0.08,6
215,10.5,0.49,121.0,0.49,5
216,11.0,0.625,49.0,0.16,5
217,9.1,0.725,41.0,0.22,5
218,9.7,0.49,44.0,0.19,5
219,9.5,0.53,144.0,0.33,5
220,9.4,0.34,58.0,0.37,6
221,9.4,0.53,72.0,0.26,5
222,9.5,0.61,10.0,0.04,5
223,10.0,0.645,28.0,0.25,6
224,10.4,0.635,55.0,0.36,4
225,10.5,0.43,63.0,0.25,6
226,9.5,0.59,81.0,0.5,6
227,9.8,0.82,23.0,0.14,5
228,10.5,0.43,63.0,0.25,6
229,11.0,0.52,37.0,0.25,5
230,12.2,0.48,106.0,0.04,7
231,9.9,0.38,49.0,0.06,6
232,9.6,0.37,58.0,0.2,6
233,11.0,0.52,37.0,0.25,5
234,9.0,1.0,37.0,0.09,6
235,9.0,0.63,38.0,0.0,6
236,9.0,0.63,38.0,0.0,6
237,9.2,0.645,39.0,0.0,6
238,9.0,0.63,38.0,0.0,6
239,9.0,1.0,37.0,0.09,6
240,9.3,0.635,62.0,0.37,5
241,10.9,0.38,24.0,0.56,6
242,9.8,0.58,109.0,0.1,6
243,9.2,0.21,24.0,0.44,7
244,9.2,0.21,24.0,0.44,7
245,9.9,0.66,23.0,0.0,6
246,9.5,0.68,51.0,0.07,5
247,9.3,0.6,73.0,0.17,5
248,9.8,0.53,39.0,0.06,6
249,9.9,0.66,23.0,0.0,6
250,10.0,0.32,37.0,0.44,6
251,9.9,0.6,34.0,0.0,6
252,10.5,0.35,21.0,0.48,5
253,9.5,0.775,86.0,0.42,5
254,9.9,0.6,34.0,0.0,6
255,9.3,0.57,119.0,0.23,5
256,9.2,0.34,13.0,0.37,5
257,9.2,0.695,56.0,0.0,5
258,9.4,0.41,45.0,0.76,5
259,10.5,0.31,33.0,0.47,7
260,9.3,0.33,45.0,0.23,5
261,9.4,0.975,67.0,0.04,4
262,10.0,0.52,35.0,0.03,5
263,9.3,0.37,49.0,0.23,5
264,10.9,0.56,27.0,0.49,5
265,10.2,0.26,10.0,0.52,7
266,9.8,0.87,61.0,0.0,4
267,12.8,0.35,37.0,0.46,8
268,9.4,0.54,27.0,0.04,6
269,10.1,0.18,23.0,0.51,6
270,10.7,0.545,61.0,0.06,6
271,10.1,0.18,23.0,0.51,6
272,10.1,0.37,65.0,0.58,5
273,9.4,0.715,38.0,0.2,5
274,9.4,0.65,94.0,0.18,5
275,10.7,0.545,61.0,0.06,6
276,9.4,0.54,27.0,0.04,6
277,10.1,0.18,23.0,0.51,6
278,12.6,0.32,13.0,0.45,8
279,10.5,0.4,47.0,0.32,7
280,9.3,0.26,19.0,0.44,6
281,9.9,0.27,10.0,0.68,7
282,9.1,0.52,53.0,0.12,5
283,10.5,0.4,47.0,0.32,7
284,9.8,0.59,71.0,0.07,5
285,9.8,0.59,71.0,0.07,5
286,10.3,0.45,49.0,0.55,6
287,10.3,0.4,53.0,0.12,6
288,10.6,0.52,49.0,0.09,7
289,9.2,0.42,98.0,0.53,5
290,10.6,0.52,49.0,0.09,7
291,10.5,0.2,18.0,0.48,5
292,10.3,0.55,48.0,0.23,6
293,10.1,0.36,16.0,0.25,6
294,9.5,0.34,53.0,0.52,6
295,9.5,0.5,27.0,0.46,5
296,9.9,0.83,70.0,0.37,5
297,9.6,0.63,29.0,0.06,5
298,9.7,0.65,31.0,0.02,5
299,9.6,0.67,33.0,0.06,5
300,10.7,0.53,44.0,0.06,6
301,10.1,0.18,15.0,0.48,6
302,10.0,0.705,28.0,0.12,5
303,9.5,0.67,21.0,0.12,5
304,9.2,0.65,90.0,0.6,5
305,9.3,0.53,25.0,0.48,6
306,9.4,0.62,54.0,0.32,5
307,9.5,0.41,14.0,0.42,6
308,9.5,0.43,12.0,0.44,6
309,9.5,0.29,30.0,0.38,6
310,9.3,0.53,25.0,0.48,6
311,9.4,0.53,105.0,0.24,6
312,9.5,0.46,98.0,0.31,6
313,9.4,0.47,135.0,0.3,5
314,11.0,0.36,72.0,0.29,5
315,11.0,0.35,53.0,0.29,6
316,10.1,0.56,92.0,0.23,5
317,10.4,0.77,74.0,0.12,6
318,11.5,0.66,59.0,0.39,7
319,10.4,0.77,74.0,0.12,6
320,11.5,0.66,59.0,0.39,7
321,9.7,0.61,87.0,0.26,5
322,9.3,0.62,18.0,0.05,5
323,9.5,0.59,73.0,0.42,6
324,9.2,0.49,50.0,0.2,6
325,9.2,0.49,50.0,0.2,6
326,11.5,0.53,14.0,0.66,7
327,11.5,0.44,13.0,0.5,5
328,9.7,0.27,21.0,0.62,6
329,9.5,0.46,15.0,0.39,5
330,12.5,0.36,41.0,0.64,6
331,12.5,0.36,41.0,0.64,6
332,9.4,0.58,114.0,0.28,6
333,11.0,0.56,44.0,0.08,5
334,11.7,0.65,38.0,0.01,7
335,12.2,0.695,21.0,0.53,7
336,12.5,0.43,16.0,0.45,6
337,10.3,0.43,58.0,0.32,5
338,11.5,0.49,99.0,0.58,6
339,9.8,0.28,29.0,0.54,7
340,9.2,0.34,21.0,0.5,6
341,11.3,0.42,18.0,0.48,6
342,9.8,0.39,14.0,0.47,6
343,9.8,0.39,14.0,0.47,6
344,10.7,0.57,32.0,0.5,6
345,9.9,0.685,63.0,0.0,5
346,12.3,0.815,34.0,0.02,7
347,12.0,0.49,15.0,0.67,6
348,10.0,0.56,46.0,0.31,6
349,9.4,0.785,28.0,0.0,6
350,9.9,0.67,34.0,0.22,6
351,9.4,0.795,26.0,0.0,6
352,9.3,0.665,19.0,0.0,5
353,13.0,0.53,77.0,0.79,5
354,11.9,0.21,165.0,0.4,6
355,12.8,0.75,32.0,0.01,6
356,11.0,0.41,55.0,0.52,5
357,11.7,0.42,29.0,0.66,7
358,10.4,0.43,23.0,0.66,7
359,9.8,0.38,41.0,0.66,6
360,9.4,0.7,81.0,0.23,5
361,9.9,0.45,50.0,0.31,6
362,10.0,0.58,37.0,0.66,5
363,10.2,0.46,15.0,0.63,5
364,10.0,0.615,42.0,0.66,7
365,11.8,0.42,21.0,0.5,6
366,10.0,0.615,42.0,0.66,7
367,9.0,0.575,24.0,0.61,5
368,9.4,0.34,75.0,0.52,5
369,12.0,0.27,18.0,0.53,7
370,9.9,0.765,63.0,0.02,5
371,8.7,0.24,25.0,0.4,6
372,10.6,0.28,46.0,0.48,6
373,9.2,0.55,72.0,0.22,5
374,10.8,0.41,47.0,0.63,6
375,11.8,0.54,15.0,0.71,7
376,11.0,0.45,47.0,0.5,6
377,12.0,0.27,18.0,0.53,7
378,13.3,0.625,24.0,0.66,6
379,10.8,0.42,60.0,0.38,6
380,9.4,0.26,27.0,0.42,6
381,10.0,0.415,43.0,0.68,6
382,9.4,0.26,27.0,0.42,6
383,9.4,0.26,27.0,0.42,6
384,9.2,0.51,54.0,0.28,5
385,9.7,0.63,37.0,0.07,6
386,9.2,0.54,48.0,0.26,6
387,9.6,0.66,42.0,0.15,6
388,9.2,0.46,53.0,0.26,6
389,10.0,0.38,49.0,0.31,7
390,12.9,0.85,88.0,0.05,8
391,10.0,0.415,43.0,0.68,6
392,9.5,0.37,26.0,0.52,5
393,9.1,0.665,95.0,0.61,5
394,9.9,0.6,25.0,0.65,5
395,13.0,0.37,38.0,0.76,7
396,9.9,0.735,124.0,0.02,5
397,11.0,0.59,49.0,0.59,6
398,11.0,0.59,49.0,0.59,6
399,9.4,0.765,42.0,0.22,5
400,9.9,0.735,124.0,0.02,5
401,10.8,0.26,38.0,0.3,6
402,10.5,0.48,64.0,0.54,6
403,10.5,0.6,41.0,0.49,6
404,9.1,0.69,27.0,0.05,5
405,10.1,0.31,25.0,0.46,6
406,10.8,0.44,28.0,0.47,6
407,10.8,0.39,30.0,0.66,7
408,11.3,0.34,16.0,0.58,6
409,9.6,0.46,49.0,0.49,4
410,9.5,0.43,86.0,0.34,6
411,9.5,0.45,78.0,0.35,5
412,9.3,0.735,77.0,0.16,5
413,11.7,0.4,19.0,0.53,7
414,9.5,0.52,122.0,0.34,5
415,9.3,0.725,134.0,0.24,5
416,11.7,0.48,20.0,0.64,6
417,10.5,0.58,124.0,0.12,5
418,10.4,0.38,20.0,0.51,6
419,9.9,0.77,52.0,0.0,5
420,11.8,0.56,67.0,0.33,7
421,12.3,0.84,48.0,0.03,7
422,10.9,0.96,60.0,0.2,5
423,11.0,0.24,24.0,0.47,7
424,10.9,0.96,60.0,0.2,5
425,12.3,0.84,48.0,0.03,7
426,11.4,0.67,48.0,0.08,6
427,10.6,0.78,32.0,0.22,6
428,9.3,0.52,30.0,0.33,5
429,10.4,0.84,35.0,0.63,6
430,11.0,0.24,24.0,0.47,7
431,9.2,0.55,66.0,0.35,5
432,12.8,0.37,24.0,0.69,6
433,9.5,0.39,18.0,0.63,5
434,9.9,0.41,54.0,0.55,6
435,9.5,0.39,18.0,0.63,5
436,10.2,0.67,62.0,0.3,6
437,11.2,0.45,22.0,0.73,6
438,9.9,0.41,54.0,0.55,6
439,9.3,0.62,50.0,0.18,5
440,9.8,0.31,29.0,0.72,8
441,11.3,0.4,27.0,0.65,6
442,11.2,0.685,43.0,0.76,7
443,11.6,0.44,19.0,0.49,7
444,12.5,0.57,27.0,0.01,7
445,10.1,0.735,31.0,0.1,6
446,10.5,0.38,72.0,0.6,5
447,11.2,0.48,16.0,0.29,5
448,10.2,0.53,27.0,0.22,6
449,10.8,0.39,35.0,0.69,6
450,10.8,0.39,35.0,0.69,6
451,9.1,0.37,26.0,0.53,6
452,10.0,0.56,35.0,0.03,6
453,11.2,0.33,22.0,0.63,7
454,11.1,0.23,67.0,0.4,5
455,13.4,0.62,19.0,0.67,8
456,10.3,0.59,22.0,0.39,5
457,9.6,0.63,65.0,0.21,5
458,11.2,0.33,22.0,0.63,7
459,9.0,0.58,47.0,0.66,3
460,11.3,0.43,23.0,0.52,6
461,9.3,0.615,19.0,0.22,5
462,11.8,0.26,25.0,0.68,5
463,9.0,0.66,129.0,0.7,5
464,9.2,0.315,15.0,0.54,6
465,9.7,0.29,26.0,0.4,5
466,11.5,0.5,51.0,0.42,6
467,14.0,0.46,18.0,0.45,6
468,9.2,0.36,21.0,0.69,6
469,9.8,0.82,48.0,0.02,5
470,10.6,0.32,47.0,0.65,5
471,11.4,0.54,52.0,0.42,6
472,10.4,0.37,68.0,0.55,6
473,10.6,0.35,14.0,0.55,5
474,9.4,0.28,24.0,0.51,6
475,10.2,0.68,28.0,0.24,5
476,9.7,0.27,16.0,0.41,5
477,11.0,0.24,20.0,0.49,6
478,10.2,0.68,28.0,0.24,5
479,10.1,0.685,31.0,0.11,6
480,9.2,0.28,23.0,0.39,5
481,11.7,0.3,17.0,0.56,8
482,9.4,0.36,18.0,0.59,5
483,9.4,0.36,18.0,0.6,5
484,13.4,0.44,24.0,0.68,6
485,10.0,0.67,17.0,0.39,5
486,10.0,0.67,17.0,0.39,5
487,10.0,0.645,14.0,0.36,6
488,10.8,0.32,67.0,0.55,7
489,10.2,0.39,26.0,0.4,6
490,10.6,0.775,56.0,0.27,6
491,13.3,0.41,25.0,0.5,7
492,13.4,0.4,27.0,0.51,7
493,11.6,0.69,81.0,0.31,6
494,12.1,0.39,91.0,0.23,6
495,11.0,0.35,16.0,0.53,8
496,9.0,0.52,38.0,0.25,6
497,11.1,0.34,113.0,0.32,5
498,11.0,0.35,16.0,0.53,8
499,11.6,0.69,81.0,0.31,6
500,9.0,0.52,38.0,0.25,6
501,12.0,0.44,76.0,0.73,7
502,12.0,0.44,76.0,0.73,7
503,10.9,0.26,24.0,0.47,7
504,10.8,0.24,22.0,0.42,7
505,12.5,0.49,26.0,0.63,7
506,10.8,0.24,21.0,0.46,7
507,9.5,0.67,13.0,0.55,6
508,10.2,0.59,62.0,0.31,6
509,11.4,0.29,43.0,0.75,7
510,9.5,0.42,43.0,0.49,5
511,10.2,0.59,62.0,0.31,6
512,9.7,0.4,49.0,0.48,6
513,11.8,0.51,15.0,0.64,7
514,11.8,0.51,15.0,0.64,7
515,9.3,0.655,151.0,0.49,5
516,11.9,0.6,14.0,0.49,6
517,8.4,0.61,16.0,0.49,3
518,11.7,0.21,32.0,0.49,6
519,11.0,0.365,106.0,0.49,5
520,10.0,0.25,33.0,0.49,6
521,9.1,0.41,43.0,0.49,5
522,9.8,0.39,133.0,0.49,5
523,9.4,0.4,142.0,0.49,5
524,9.5,0.43,116.0,0.49,5
525,9.9,0.64,53.0,0.24,5
526,11.0,0.365,106.0,0.49,5
527,11.4,0.38,85.0,0.49,6
528,8.7,0.42,55.0,0.49,6
529,9.4,0.63,33.0,0.24,5
530,10.3,0.22,28.0,0.24,6
531,10.3,0.38,42.0,0.49,5
532,10.3,0.38,42.0,0.49,5
533,12.8,0.27,33.0,0.24,6
534,10.0,0.48,32.0,0.24,6
535,10.3,0.22,28.0,0.24,6
536,9.4,0.63,33.0,0.24,5
537,10.7,0.825,13.0,0.24,6
538,12.0,0.35,35.0,0.49,7
539,11.2,0.5,17.0,0.74,5
540,9.6,0.59,47.0,0.24,5
541,11.0,0.46,17.0,0.49,6
542,9.9,0.715,20.0,0.24,5
543,11.0,0.66,53.0,0.24,6
544,8.4,0.31,15.0,0.74,6
545,9.1,0.47,106.0,0.49,5
546,9.5,0.55,28.0,0.24,6
547,10.7,0.31,21.0,0.49,6
548,10.4,0.35,69.0,0.49,6
549,9.4,0.53,25.0,0.49,6
550,9.5,0.51,25.0,0.01,6
551,10.0,0.43,45.0,0.24,6
552,10.0,0.46,44.0,0.24,6
553,11.5,1.04,96.0,0.24,5
554,11.1,0.645,23.0,0.49,5
555,11.1,0.645,23.0,0.49,5
556,11.7,0.53,17.0,0.49,6
557,11.1,0.645,23.0,0.49,5
558,11.7,0.53,17.0,0.49,6
559,12.7,0.47,47.0,0.49,6
560,11.4,0.6,19.0,0.49,5
561,9.2,0.44,121.0,0.49,5
562,9.2,0.54,110.0,0.49,5
563,10.1,0.29,60.0,0.49,6
564,12.7,0.47,47.0,0.49,6
565,11.4,0.6,19.0,0.49,5
566,9.0,0.7,15.0,0.24,6
567,9.0,0.7,15.0,0.24,6
568,10.7,0.5,20.0,0.49,6
569,11.7,0.36,42.0,0.24,6
570,11.0,0.35,37.0,0.49,6
571,11.7,0.36,42.0,0.24,6
572,10.4,0.24,28.0,0.49,5
573,9.6,0.59,47.0,0.49,4
574,10.0,0.34,78.0,0.49,6
575,10.2,0.27,46.0,0.49,6
576,10.0,0.5,14.0,0.24,4
577,9.5,0.44,111.0,0.49,5
578,9.8,0.47,110.0,0.49,5
579,9.8,0.31,40.0,0.49,6
580,9.6,0.5,14.0,0.49,5
581,9.6,0.5,14.0,0.49,5
582,9.2,0.49,15.0,0.49,5
583,9.9,0.28,21.0,0.49,7
584,10.7,0.33,80.0,0.49,7
585,9.6,0.51,38.0,0.24,6
586,10.6,0.31,47.0,0.49,7
587,9.3,0.73,102.0,0.24,5
588,14.0,0.42,50.0,0.24,8
589,10.5,0.29,13.0,0.49,7
590,9.7,0.45,75.0,0.49,5
591,11.5,0.39,149.0,0.49,6
592,9.7,0.45,75.0,0.49,5
593,9.0,0.49,43.0,0.58,5
594,9.5,0.72,38.0,0.17,5
595,9.3,0.595,109.0,0.41,5
596,9.3,0.4,24.0,0.51,6
597,10.0,0.58,18.0,0.58,6
598,9.8,0.585,30.0,0.18,6
599,9.3,0.59,22.0,0.45,6
600,10.0,0.915,23.0,0.27,4
601,9.0,0.46,35.0,0.52,6
602,9.3,0.835,14.0,0.0,5
603,9.0,0.46,35.0,0.52,6
604,9.1,0.58,63.0,0.13,6
605,9.2,0.6,24.0,0.13,6
606,12.2,0.41,20.0,0.48,7
607,10.5,0.48,52.0,0.41,6
608,10.4,0.65,65.0,0.37,6
609,12.7,0.36,39.0,0.19,6
610,9.2,0.24,57.0,0.54,5
611,9.4,0.38,16.0,0.55,5
612,10.0,0.64,29.0,0.0,6
613,9.8,0.39,29.0,0.38,5
614,10.2,0.755,103.0,0.18,6
615,9.7,0.6,71.0,0.5,5
616,9.7,0.6,71.0,0.5,5
617,9.8,0.31,28.0,0.51,6
618,10.2,0.46,17.0,0.5,5
619,9.3,0.37,16.0,0.41,5
620,9.4,0.54,112.0,0.24,5
621,9.4,0.56,104.0,0.23,5
622,9.5,0.58,32.0,0.22,5
623,12.1,0.51,45.0,0.25,6
624,10.2,0.69,58.0,0.0,5
625,10.2,0.69,58.0,0.0,5
626,9.1,0.6,15.0,0.29,5
627,9.1,0.6,15.0,0.29,5
628,9.3,0.54,31.0,0.26,6
629,9.3,0.685,84.0,0.23,5
630,9.3,0.54,31.0,0.26,6
631,9.5,0.28,19.0,0.54,5
632,10.5,0.41,43.0,0.14,6
633,11.3,0.935,86.0,0.22,4
634,9.5,0.35,102.0,0.21,5
635,9.7,0.84,33.0,0.0,5
636,9.4,0.88,147.0,0.28,5
637,9.4,0.885,145.0,0.27,5
638,10.2,0.915,23.0,0.12,7
639,10.3,0.29,57.0,0.35,6
640,9.4,0.54,40.0,0.45,5
641,9.5,0.59,68.0,0.44,5
642,9.4,0.54,40.0,0.45,5
643,9.5,0.59,68.0,0.44,5
644,9.4,0.54,40.0,0.45,5
645,10.1,0.64,11.0,0.1,7
646,10.1,0.67,20.0,0.05,5
647,11.0,0.845,14.0,0.01,4
648,11.2,0.48,28.0,0.3,7
649,11.3,0.42,148.0,0.27,6
650,9.6,0.43,32.0,0.39,5
651,11.2,0.88,155.0,0.25,5
652,14.9,0.36,71.0,0.65,5
653,12.0,0.33,30.0,0.59,6
654,9.5,0.47,29.0,0.47,5
655,9.4,0.55,53.0,0.17,5
656,9.6,0.43,32.0,0.39,5
657,10.5,0.5,42.0,0.59,7
658,9.6,0.52,20.0,0.07,6
659,11.0,0.84,13.0,0.02,4
660,9.6,0.52,20.0,0.07,6
661,9.0,0.42,42.0,0.31,5
662,9.6,0.57,27.0,0.06,6
663,10.2,0.28,13.0,0.46,6
664,10.2,0.4,54.0,0.52,5
665,9.7,0.59,48.0,0.14,5
666,9.5,0.49,16.0,0.36,6
667,9.2,0.34,15.0,0.45,6
668,11.0,0.73,31.0,0.43,5
669,9.2,0.34,15.0,0.45,6
670,10.0,0.4,45.0,0.24,5
671,9.5,0.73,13.0,0.21,5
672,9.5,1.24,151.0,0.34,5
673,9.5,0.73,13.0,0.21,5
674,9.3,0.4,17.0,0.41,6
675,10.2,0.41,31.0,0.39,5
676,9.3,0.4,17.0,0.41,6
677,9.9,0.8,31.0,0.11,5
678,10.0,0.78,87.0,0.1,5
679,9.6,0.26,49.0,0.45,5
680,9.0,0.43,40.0,0.58,5
681,10.2,0.45,29.0,0.23,6
682,9.8,0.46,58.0,0.31,5
683,11.3,0.78,15.0,0.23,5
684,9.4,0.98,152.0,0.32,5
685,11.3,0.78,15.0,0.23,5
686,9.1,0.65,40.0,0.18,5
687,9.7,0.64,38.0,0.23,5
688,9.4,0.66,9.0,0.04,5
689,9.4,0.38,17.0,0.48,5
690,10.7,1.185,14.0,0.0,3
691,9.8,0.92,93.0,0.24,5
692,9.0,0.49,62.0,0.51,5
693,9.4,0.48,122.0,0.32,5
694,9.4,0.47,125.0,0.31,5
695,12.8,0.47,44.0,0.02,6
